PM,BL,T,κliq,κp,d,vol%,E
Al2O3,EG,20,0.249,27,150,0.5,1.3
Al2O3,W,20,0.598,27,150,0.5,1.5
Aluminium,EG,20,0.249,204,80,0.1,1.5
Al2O3,W,20,0.598,27,45,0.5,2
Al2O3,W,30,0.616,27,150,0.5,2.5
Al2O3,W,20,0.598,27,150,1,2.5
Al2O3,EG,30,0.252,27,150,0.5,2.5
Al2O3,EG,20,0.249,27,150,1,2.5
Al2O3,EG,20,0.249,27,45,0.5,2.5
Aluminium,W,20,0.598,204,80,0.1,2.5
Aluminium,W,30,0.616,204,80,0.1,2.9
Al2O3,W,40,0.631,27,150,0.5,3
Al2O3,TO,20,0.111,27,45,0.5,3
CuO,W,20,0.598,18,31,0.5,3
Aluminium,W,40,0.631,204,80,0.1,3.2
Al2O3,EG,40,0.256,27,150,0.5,3.3
Al2O3,W,40,0.631,27,150,1,3.5
Al2O3,EG,30,0.252,27,45,0.5,3.5
CuO,W,30,0.616,18,31,0.5,3.5
Cu,W,20,0.598,383,80,0.1,3.5
Aluminium,TO,20,0.111,204,80,0.1,3.5
Al2O3,EG,30,0.252,27,150,1,3.7
Cu,W,30,0.616,383,80,0.1,3.8
Al2O3,W,30,0.616,27,150,1,4
Al2O3,W,50,0.644,27,150,1,4
Aluminium,W,50,0.644,204,80,0.1,4
Aluminium,EG,50,0.258,204,80,0.1,4
Aluminium,TO,40,0.109,204,80,0.1,4
Al2O3,W,50,0.644,27,150,0.5,4.3
Al2O3,EG,50,0.258,27,150,0.5,4.3
Al2O3,W,30,0.616,27,150,2,4.5
Al2O3,W,30,0.616,27,45,0.5,4.5
Al2O3,TO,30,0.11,27,45,0.5,4.5
CuO,EG,20,0.249,18,31,0.5,4.5
Cu,EG,20,0.249,383,80,0.1,4.5
Aluminium,EG,30,0.252,204,80,0.1,4.5
Aluminium,TO,30,0.11,204,80,0.1,4.5
Al2O3,EG,40,0.256,27,150,1,4.6
Al2O3,W,20,0.598,27,150,2,5
Al2O3,W,20,0.598,27,45,1,5
CuO,TO,20,0.111,18,31,0.5,5
Cu,TO,20,0.111,383,80,0.1,5
Aluminium,W,20,0.598,204,80,0.5,5
Cu,W,40,0.631,383,80,0.1,5.3
Al2O3,W,40,0.631,27,45,0.5,5.5
Al2O3,W,20,0.598,27,45,2,5.5
Al2O3,EG,50,0.258,27,150,1,5.5
Al2O3,EG,20,0.249,27,150,2,5.5
Al2O3,EG,40,0.256,27,45,0.5,5.5
CuO,W,40,0.631,18,31,0.5,5.5
Cu,W,50,0.644,383,80,0.1,5.5
Aluminium,EG,40,0.256,204,80,0.1,5.5
Cu,EG,40,0.256,383,80,0.1,5.8
Al2O3,W,50,0.644,27,45,0.5,6
Al2O3,W,30,0.616,27,45,1,6
Al2O3,W,20,0.598,27,11,0.5,6
Al2O3,EG,20,0.249,27,45,1,6
CuO,W,20,0.598,18,31,1,6
Cu,EG,30,0.252,383,80,0.1,6
Cu,EG,20,0.249,383,80,0.5,6
Aluminium,EG,20,0.249,204,80,0.5,6
Al2O3,W,40,0.631,27,150,2,6.5
Al2O3,W,30,0.616,27,11,0.5,6.5
